ScoreId,GameId,PlayerId,Rank,RawScore,Score,
1,1,23,1,0,38,
2,1,52,2,0,13,
3,1,6,3,0,-9,
4,1,98,4,0,-42,
5,2,6,1,0,30,
6,2,98,2,0,12,
7,2,66,3,0,-16,
8,2,39,4,0,-26,
9,3,66,1,0,26,
10,3,6,2,0,14,
11,3,98,3,0,-2,
12,3,84,4,0,-38,
13,4,98,1,0,28,
14,4,66,2,0,15,
15,4,84,3,0,-14,
16,4,6,4,0,-29,
17,5,70,1,0,37,
18,5,23,2,0,22,
19,5,6,3,0,0,
20,5,98,4,0,-59,
21,6,6,1,0,36,
22,6,84,2,0,24,
23,6,39,3,0,-23,
24,6,66,4,0,-37,
25,7,98,1,0,32,
26,7,70,2,0,18,
27,7,65,3,0,1,
28,7,23,4,0,-51,
29,8,6,1,0,31,
30,8,39,2,0,8,
31,8,70,3,0,-3,
32,8,23,4,0,-36,
33,9,12,1,0,37,
34,9,66,2,0,14,
35,9,84,3,0,3,
36,9,65,4,0,-8,
37,9,98,5,0,-46,
38,10,98,1,0,34,
39,10,66,2,0,20,
40,10,23,3,0,-11,
41,10,6,4,0,-43,
42,11,70,1,0,31,
43,11,65,2,0,12,
44,11,52,3,0,-13,
45,11,39,4,0,-30,
46,12,39,1,0,34,
47,12,23,2,0,12,
48,12,65,3,0,-2,
49,12,84,4,0,-44,
50,13,98,1,0,34,
51,13,66,2,0,9,
52,13,39,3,0,-2,
53,13,79,4,0,-41,
54,14,98,1,0,43,
55,14,23,2,0,3,
56,14,84,3,0,-8,
57,14,12,4,0,-37,
58,15,52,1,0,25,
59,15,23,2,0,14,
60,15,98,3,0,-13,
61,15,39,4,0,-26,
62,16,39,1,0,35,
63,16,12,2,0,13,
64,16,98,3,0,-14,
65,16,66,4,0,-32,
66,17,52,1,0,28,
67,17,23,2,0,11,
68,17,12,3,0,-12,
69,17,98,4,0,-27,
70,18,39,1,0,54,
71,18,84,2,0,6,
72,18,66,3,0,-27,
73,18,98,4,0,-43,
74,19,98,1,0,33,
75,19,65,2,0,11,
76,19,70,3,0,-1,
77,19,79,4,0,-16,
78,19,52,5,0,-27,
79,20,23,1,0,42,
80,20,39,2,0,15,
81,20,66,3,0,5,
82,20,84,4,0,-27,
83,20,12,5,0,-45,
84,21,23,1,0,22,
85,21,52,2,0,11,
86,21,98,3,0,0,
87,21,39,4,0,-33,
88,22,84,1,0,43,
89,22,98,2,0,13,
90,22,52,3,0,-2,
91,22,70,4,0,-17,
92,22,65,5,0,-37,
93,23,84,1,0,47,
94,23,52,2,0,8,
95,23,70,3,0,-5,
96,23,66,4,0,-17,
97,23,65,5,0,-33,
98,24,39,1,0,65,
99,24,98,2,0,2,
100,24,23,3,0,-24,
101,24,12,4,0,-43,
102,25,39,1,0,33,
103,25,98,2,0,27,
104,25,12,3,0,-16,
105,25,23,4,0,-34,
106,26,98,1,0,49,
107,26,23,2,0,14,
108,26,65,3,0,-23,
109,26,70,4,0,-40,
110,27,84,1,0,25,
111,27,6,2,0,6,
112,27,39,3,0,-10,
113,27,12,4,0,-21,
114,28,70,1,0,23,
115,28,98,2,0,6,
116,28,23,3,0,-8,
117,28,6,4,0,-21,
118,29,84,1,0,39,
119,29,66,2,0,21,
120,29,65,3,0,-10,
121,29,7,4,0,-50,
122,30,39,1,0,48,
123,30,70,2,0,16,
124,30,23,3,0,2,
125,30,6,4,0,-10,
126,30,98,5,0,-56,
127,31,66,1,0,29,
128,31,84,2,0,5,
129,31,7,3,0,-9,
130,31,65,4,0,-25,
131,32,39,1,0,31,
132,32,65,2,0,15,
133,32,6,3,0,1,
134,32,66,4,0,-13,
135,32,52,5,0,-34,
136,33,98,1,0,42,
137,33,23,2,0,15,
138,33,7,3,0,2,
139,33,12,4,0,-20,
140,33,70,5,0,-39,
141,34,7,1,0,41,
142,34,39,2,0,16,
143,34,6,3,0,-9,
144,34,98,4,0,-48,
145,35,98,1,0,36,
146,35,7,2,0,6,
147,35,39,3,0,-10,
148,35,6,4,0,-32,
149,36,84,1,0,42,
150,36,70,2,0,3,
151,36,23,3,0,-13,
152,36,65,4,0,-32,
153,37,39,1,0,28,
154,37,6,2,0,5,
155,37,65,3,0,-10,
156,37,98,4,0,-24,
157,38,70,1,0,50,
158,38,84,2,0,28,
159,38,12,3,0,0,
160,38,52,4,0,-20,
161,38,66,5,0,-58,
162,39,70,1,0,37,
163,39,98,2,0,12,
164,39,23,3,0,-9,
165,39,39,4,0,-40,
166,40,52,1,0,56,
167,40,12,2,0,15,
168,40,66,3,0,2,
169,40,61,4,0,-18,
170,40,65,5,0,-55,
171,41,39,1,0,33,
172,41,52,2,0,15,
173,41,23,3,0,0,
174,41,84,4,0,-14,
175,41,12,5,0,-34,
176,42,6,1,0,29,
177,42,70,2,0,10,
178,42,98,3,0,-1,
179,42,66,4,0,-38,
180,43,52,1,0,21,
181,43,39,2,0,5,
